0.1,0,0,0.732767981,-0.0011853673
0.2,0,0,0.7326934234,-0.0012644179
0.3,0,0,0.732643586,-0.0012766813
0.4,0,0,0.7326407898,-0.0013082529
0.5,0,0,0.7325316221,-0.0014329705
0.6,0,0,0.7324324134,-0.0014953797
0.7,0,0,0.7323987562,-0.0014961652
0.8,0,0,0.7323850123,-0.001528735
0.9,0,0,0.7323406262,-0.0015391079
1,0,0,0.7322115866,-0.0015471607
1.1,0,0,0.732450215,-0.0015975946
1.2,0,0,0.7336258305,-0.0016537822
1.3,0,0,0.735766702,-0.0019016322
1.4,0,0,0.737344757,-0.002165495
1.5,0.002,0,0.738021102,-0.0025380696
1.6,0.004,0,0.7395575693,-0.0026342813
1.7,0.006,0,0.7419709666,-0.002847783
1.8,0.008,0,0.7447575498,-0.0033153403
1.9,0.011,0,0.7475014282,-0.0039346302
2,0.014,0,0.7508458785,-0.0044767102
2.1,0.019,0,0.7540985284,-0.0049614892
2.2,0.023,0,0.7582255874,-0.0053976625
2.3,0.029,0,0.7630411464,-0.0061048423
2.4,0.035,0,0.7670654005,-0.0070330608
2.5,0.041,0,0.7723705732,-0.0074068382
2.6,0.049,0,0.7770070079,-0.008536025
2.7,0.057,0,0.7817595223,-0.0094978493
2.8,0.068,0,0.786469962,-0.0105484743
2.9,0.079,0,0.7927569621,-0.0115190167
3,0.091,0,0.7986431819,-0.0126768146
3.1,0.104,0,0.8010407054,-0.0139499353
3.2,0.118,0,0.8063244431,-0.0145850601
3.3,0.133,0,0.8135334621,-0.0139697138
3.4,0.147,0,0.8219188066,-0.0135477548
3.5,0.162,0,0.829178782,-0.0126457149
3.6,0.178,0.001,0.8380383427,-0.0101446724
3.7,0.195,0.001,0.8480185054,-0.0079586618
3.8,0.214,0.001,0.8605918495,-0.0043382072
3.9,0.235,0.001,0.8689507716,-0.004626554
4,0.256,0.002,0.873113272,-0.0049027312
4.1,0.28,0.003,0.8803980491,-0.0041429591
4.2,0.305,0.004,0.8858584419,-0.0046795192
4.3,0.33,0.005,0.8940363075,-0.0059094662
4.4,0.355,0.007,0.9042882994,-0.0071226233
4.5,0.38,0.008,0.9161252758,-0.0083269412
4.6,0.406,0.01,0.9287519763,-0.0088807605
4.7,0.433,0.012,0.9410817691,-0.0089453133
4.8,0.46,0.014,0.9515856304,-0.0097309723
4.9,0.488,0.016,0.9633652954,-0.0102671264
5,0.516,0.019,0.9740765285,-0.0105330897
5.1,0.544,0.021,0.984343485,-0.0095974579
5.2,0.572,0.024,0.9922990568,-0.0090860175
5.3,0.601,0.026,0.9995332327,-0.0091348821
5.4,0.63,0.029,1.0099404047,-0.0096521825
5.5,0.658,0.032,1.0197921265,-0.0115273604
5.6,0.686,0.034,1.0281674601,-0.012863989
5.7,0.714,0.037,1.0386365673,-0.0144329248
5.8,0.744,0.04,1.0463491232,-0.0148924198
5.9,0.774,0.042,1.0521908499,-0.0159677863
6,0.804,0.045,1.0608648904,-0.0166609529
6.1,0.835,0.048,1.0701261402,-0.0181688704
6.2,0.864,0.051,1.0803697514,-0.0205864646
6.3,0.894,0.054,1.0906604542,-0.0214086883
6.4,0.924,0.057,1.0962844602,-0.0218139309
6.5,0.956,0.06,1.1045285415,-0.0227879249
6.6,0.987,0.063,1.112807107,-0.0254508406
6.7,1.019,0.066,1.1241471568,-0.0286472607
6.8,1.051,0.069,1.132679086,-0.0300791282
6.9,1.082,0.071,1.1423108295,-0.0322602727
7,1.114,0.074,1.1481143848,-0.0336404108
