0.1,0.001,-0.1141337901
0.2,0.005,-0.1191478223
0.3,0.01,-0.1260832697
0.4,0.017,-0.134655416
0.5,0.026,-0.1445882767
0.6,0.037,-0.1552800983
0.7,0.05,-0.167939797
0.8,0.065,-0.1834048182
0.9,0.082,-0.2031255215
1,0.103,-0.2230450362
1.1,0.126,-0.2421968877
1.2,0.152,-0.2636013925
1.3,0.179,-0.2870169282
1.4,0.208,-0.2873277068
1.5,0.239,-0.3274944127
1.6,0.271,-0.342872262
1.7,0.303,-0.3581722677
1.8,0.336,-0.3739871979
1.9,0.368,-0.3909943104
2,0.394,-0.4093072116
2.1,0.426,-0.4260386825
2.2,0.464,-0.4426490664
2.3,0.496,-0.4610787928
2.4,0.529,-0.4780516326
2.5,0.562,-0.4962841272
2.6,0.595,-0.5127313733
2.7,0.629,-0.5224303007
2.8,0.663,-0.5343238711
2.9,0.697,-0.5475075841
3,0.732,-0.5625280738
3.1,0.766,-0.575332582
3.2,0.8,-0.5881389976
3.3,0.834,-0.5990072489
3.4,0.868,-0.612511456
3.5,0.903,-0.6277678013
3.6,0.94,-0.6434847713
3.7,0.976,-0.6605246663
3.8,1.015,-0.6769715548
3.9,1.052,-0.6927731633
4,1.087,-0.7108509541
4.1,1.123,-0.7336848378
4.2,1.16,-0.7563065887
4.3,1.2,-0.7777983546
4.4,1.241,-0.7929925919
4.5,1.282,-0.8083760142
4.6,1.323,-0.8242434859
4.7,1.363,-0.8423268795
4.8,1.404,-0.8630053997
4.9,1.445,-0.8847216964
5,1.487,-0.9037206173
5.1,1.528,-0.9168180227
5.2,1.571,-0.9331878424
5.3,1.612,-0.9495335817
5.4,1.655,-0.9663940668
5.5,1.697,-0.9782057405
5.6,1.738,-0.9941575527
5.7,1.779,-1.0032538176
5.8,1.821,-1.0165269375
5.9,1.864,-1.0286476612
6,1.907,-1.0447244644
6.1,1.95,-1.0531362295
6.2,1.993,-1.0659604073
6.3,2.037,-1.0812468529
6.4,2.08,-1.0952659845
6.5,2.123,-1.1215504408
6.6,2.165,-1.1497271061
6.7,2.208,-1.1734998226
6.8,2.252,-1.1976820231
6.9,2.296,-1.2097638845
7,2.341,-1.2269449234
7.1,2.385,-1.2322713137
7.2,2.429,-1.2418725491
7.3,2.475,-1.2571735382
7.4,2.521,-1.267570138
7.5,2.567,-1.2789384127
7.6,2.611,-1.2901518345
7.7,2.657,-1.3008719683
7.8,2.706,-1.3064978123
7.9,2.754,-1.3242294788
8,2.803,-1.3290138245
8.1,2.852,-1.3448503017
8.2,2.902,-1.3544100523
8.3,2.953,-1.3640178442
8.4,3.003,-1.3707352877
8.5,3.053,-1.3814891577
8.6,3.103,-1.4010099173
8.7,3.152,-1.42686975
8.8,3.2,-1.450930953
8.9,3.248,-1.4760721922
9,3.297,-1.4901762009
9.1,3.347,-1.5071084499
9.2,3.396,-1.5128515959
9.3,3.446,-1.522791028
9.4,3.495,-1.5379824638
9.5,3.546,-1.5447728634
9.6,3.597,-1.555383563
9.7,3.648,-1.5650185347
9.8,3.699,-1.5743970871
9.9,3.749,-1.5847582817
10,3.8,-1.5960599184
10.1,3.85,-1.6075322628
10.2,3.901,-1.6182615757
10.3,3.954,-1.6286125183
10.4,4.005,-1.6365766525
10.5,4.056,-1.647210002
10.6,4.107,-1.6558618546
10.7,4.159,-1.6727459431
10.8,4.209,-1.6998875141
10.9,4.26,-1.7280753851
11,4.311,-1.7557017803
11.1,4.362,-1.780179143
11.2,4.414,-1.803833127
11.3,4.466,-1.8196319342
11.4,4.516,-1.8374317884
11.5,4.563,-1.8562514782
11.6,4.61,-1.8719774485
11.7,4.653,-1.902326107
11.8,4.692,-1.9150830507
11.9,4.727,-1.9559257031
12,4.757,-1.9733581543
12.1,4.786,-1.986939311
12.2,4.815,-2.0042450428
12.3,4.845,-2.0129058361
12.4,4.872,-2.0213148594
12.5,4.902,-2.0283322334
12.6,4.933,-2.0323703289
12.7,4.961,-2.0384669304
12.8,4.986,-2.0488510132
12.9,5.01,-2.0680613518
13,5.033,-2.0763881207
13.1,5.053,-2.0811562538
13.2,5.072,-2.0865120888
13.3,5.089,-2.0899691582
13.4,5.106,-2.0941765308
13.5,5.122,-2.0942304134
13.6,5.139,-2.0944035053
13.7,5.156,-2.0932579041
13.8,5.173,-2.0913274288
13.9,5.189,-2.0903089047
14,5.206,-2.0899004936
14.1,5.221,-2.088590622
14.2,5.236,-2.0863795281
14.3,5.252,-2.0840859413
14.4,5.271,-2.0814335346
14.5,5.288,-2.07913661
14.6,5.302,-2.0762312412
14.7,5.316,-2.0735986233
14.8,5.329,-2.0702557564
14.9,5.341,-2.0668032169
15,5.353,-2.0636732578
15.1,5.365,-2.0608701706
15.2,5.375,-2.0568180084
15.3,5.385,-2.0515949726
15.4,5.395,-2.04641819
