0.1,0,0,0.7052337054,-0.0049902497
0.2,0,0,0.7052694988,-0.004891031
0.3,0,0,0.7051740115,-0.0049125743
0.4,0,0,0.7051542685,-0.0049688653
0.5,0,0,0.7051463858,-0.0049961154
0.6,0,0,0.7050581538,-0.005082688
0.7,0,0,0.70501741,-0.0051079553
0.8,0,0,0.7050058741,-0.005196652
0.9,0,0,0.7049312041,-0.005170785
1,0,0,0.7049323313,-0.0052918377
1.1,0,0,0.7050329669,-0.0053121143
1.2,0,0,0.7056880982,-0.0048784835
1.3,0,0,0.7071392657,-0.004325968
1.4,0,0,0.708707459,-0.00361388
1.5,0.001,0,0.7101190865,-0.0030260721
1.6,0.002,0,0.7125271754,-0.0026334663
1.7,0.005,0,0.715222568,-0.0022147288
1.8,0.008,0,0.7177983847,-0.0019584985
1.9,0.011,0,0.7210144607,-0.0016482609
2,0.014,0,0.7236905205,-0.0013343564
2.1,0.018,0,0.7283455908,-0.0011446516
2.2,0.022,0,0.7348639837,-0.0007565586
2.3,0.026,0,0.7424830352,0.000730254
2.4,0.032,0,0.7490743577,0.0010213663
2.5,0.038,0,0.7583475249,0.0010540728
2.6,0.045,0,0.7700627464,0.0007774869
2.7,0.053,0,0.7773372906,-0.0001110853
2.8,0.06,0,0.7909190067,-0.0008087378
2.9,0.068,0.001,0.80309965,-0.0024967372
3,0.076,0.001,0.8146160001,-0.004392214
3.1,0.085,0.001,0.8275822841,-0.0063025904
3.2,0.095,0.001,0.8354252257,-0.0080800768
3.3,0.104,0.001,0.8445024386,-0.009546083
3.4,0.114,0.001,0.8569107668,-0.0107119166
3.5,0.124,0.001,0.8706530206,-0.0122591834
3.6,0.134,0.001,0.885410438,-0.0139583434
3.7,0.144,0.001,0.8996065133,-0.0153049701
3.8,0.155,0.001,0.9102036472,-0.0154434405
3.9,0.166,0.001,0.9220826197,-0.0136760629
4,0.176,0.001,0.9315211492,-0.0123793131
4.1,0.187,0.001,0.9419807487,-0.0105812648
4.2,0.198,0.001,0.9539741111,-0.0078706513
4.3,0.21,0.001,0.9640222878,-0.0043565609
4.4,0.222,0.001,0.9751895999,-0.0010103267
4.5,0.235,0.001,0.9875385856,0.002379636
4.6,0.25,0.001,0.9995286293,0.006367704
4.7,0.265,0.001,1.0122114956,0.0110015464
4.8,0.281,0.002,1.0244917225,0.0152708187
4.9,0.297,0.002,1.0356344802,0.0181569839
5,0.314,0.003,1.0443052919,0.0211138724
5.1,0.33,0.004,1.0542144849,0.024306692
5.2,0.346,0.005,1.065034607,0.027302709
5.3,0.362,0.006,1.0765436303,0.0306968521
5.4,0.379,0.007,1.0881691889,0.0344047447
5.5,0.397,0.008,1.0875288373,0.037800899
5.6,0.414,0.009,1.0970740951,0.0399566051
5.7,0.432,0.011,1.1018630934,0.0431956364
5.8,0.451,0.012,1.108185196,0.0457474748
5.9,0.469,0.014,1.1109514012,0.0493866208
6,0.489,0.015,1.1181890504,0.0525809168
6.1,0.509,0.017,1.1311844831,0.05501071
6.2,0.53,0.019,1.1445081809,0.0567357304
6.3,0.553,0.021,1.1573506956,0.0591528779
6.4,0.578,0.024,1.1705327809,0.0619329363
6.5,0.603,0.026,1.177047462,0.063897195
6.6,0.629,0.029,1.1812579346,0.0660652738
6.7,0.656,0.032,1.1853458734,0.0676957332
