0.1,-0.001,0,0.0009999998,0.4141365165,0.1485960124,-0.1004380584
0.2,-0.001,0,0.0009999998,0.4131984229,0.1489072204,-0.0652241781
0.3,0,0,0.0009999998,0.4116407629,0.1490302403,0.0066497442
0.4,0,0,0.0005,0.4103490522,0.1495538041,0.0746430457
0.5,0.002,0,0,0.4080816895,0.1500849551,0.1677071154
0.6,0.004,0,-0.0005,0.4061748578,0.1507968147,0.2389928252
0.7,0.006,0,-0.0014999994,0.4044868712,0.1517653841,0.306155175
0.8,0.009,0,-0.0024999974,0.4030102601,0.1526219862,0.3733156919
0.9,0.012,0,-0.0029999955,0.4003972856,0.1525191188,0.4141550362
1,0.015,0,-0.0034999929,0.3972318549,0.1521935508,0.4160584211
1.1,0.018,0,-0.0039999893,0.3924182995,0.1499640442,0.3736285269
1.2,0.022,0,-0.0044999848,0.386675874,0.1469037096,0.3065300286
1.3,0.027,0,-0.0039999893,0.3780675735,0.1402863296,0.1867809296
1.4,0.033,0,-0.0034999929,0.3701884015,0.1329799187,0.021145178
1.5,0.04,0,-0.0019999987,0.3613461544,0.1255139577,-0.1816254556
1.6,0.048,0,-0.0005,0.3523051323,0.1170977564,-0.4051218629
1.7,0.057,0,0.0009999998,0.350327224,0.1131888475,-0.6006289721
1.8,0.068,0,0.0029999955,0.3473649285,0.1090672863,-0.7967828512
1.9,0.079,0,0.0054999723,0.3409053751,0.1027291083,-1.038492322
2,0.091,0,0.0084998976,0.3384032368,0.0987359774,-1.2905290127
2.1,0.103,0,0.0109997782,0.3353461795,0.0947462152,-1.5626478195
2.2,0.117,0.001,0.0144994919,0.3303266449,0.0914132299,-1.8031762838
2.3,0.133,0.001,0.017999028,0.3206214566,0.0863270567,-1.9775495529
2.4,0.15,0.002,0.0214983436,0.3082781977,0.0808899807,-2.1245014668
2.5,0.168,0.003,0.0244975491,0.299645187,0.0775631216,-2.2606067658
2.6,0.187,0.004,0.0264968985,0.2926302897,0.0758111859,-2.3578426838
2.7,0.209,0.005,0.0269967196,0.2848853216,0.0727096216,-2.4888319969
2.8,0.232,0.006,0.0264968985,0.2788206919,0.0697834867,-2.7046391964
2.9,0.256,0.007,0.0279963415,0.2739554954,0.0681354474,-2.86094594
3,0.28,0.009,0.0294957215,0.2676385978,0.0664378305,-2.952432394
3.1,0.304,0.01,0.0314947909,0.2552601923,0.0616875436,-3.075327158
3.2,0.329,0.012,0.0319945389,0.2427313315,0.056951807,-3.2003829479
3.3,0.354,0.013,0.0324942789,0.2339674554,0.0555789161,-3.229932785
3.4,0.382,0.015,0.0324942789,0.2218071359,0.0512863042,-3.2839217186
3.5,0.411,0.017,0.0324942789,0.2169351288,0.0496718348,-3.4497263432
3.6,0.442,0.019,0.0319945389,0.2141115087,0.0485703691,-3.6165800095
3.7,0.474,0.021,0.0309950351,0.2034319948,0.0434411615,-3.808223486
3.8,0.506,0.023,0.0309950351,0.192772197,0.0386205732,-4.0507764816
3.9,0.539,0.025,0.0314947909,0.1855924047,0.0375722401,-4.1817164421
4,0.572,0.027,0.0319945389,0.1787844063,0.0367982283,-4.0963988304
4.1,0.605,0.029,0.0319945389,0.1721748057,0.0352665895,-3.9530551434
4.2,0.639,0.031,0.0319945389,0.1658300645,0.0322495813,-4.0059800148
4.3,0.675,0.034,0.0344931565,0.1480819663,0.0238034071,-4.048517704
4.4,0.709,0.036,0.036491896,0.1288257423,0.0157823332,-4.0691080093
