4.5,0.344,0.003,0.0204985642,0.9034141451,-1.5801849365,-1.0116770268,0.1534141451,-1.5801849365,-1.0116770268
4.6,0.363,0.004,0.0209984565,0.9115101099,-1.5802425146,-0.9663874507,0.1615101099,-1.5802425146,-0.9663874507
4.7,0.382,0.005,0.0214983436,0.9256796092,-1.5803092718,-0.8869072795,0.1756796092,-1.5803092718,-0.8869072795
4.8,0.402,0.006,0.0219982254,0.9397907108,-1.5798772574,-0.7608034015,0.1897907108,-1.5798772574,-0.7608034015
4.9,0.421,0.007,0.0209984565,0.9527472258,-1.5790348053,-0.6220017076,0.2027472258,-1.5790348053,-0.6220017076
5,0.441,0.007,0.0189988569,0.9664708823,-1.5786168575,-0.4846964777,0.2164708823,-1.5786168575,-0.4846964777
5.1,0.461,0.008,0.0169991812,0.9735843092,-1.578019619,-0.3633172214,0.2235843092,-1.578019619,-0.3633172214
5.2,0.481,0.009,0.0159993173,0.9799628556,-1.5773123503,-0.2439646721,0.2299628556,-1.5773123503,-0.2439646721
5.3,0.503,0.009,0.0154993794,0.9866281301,-1.5767204762,-0.1076772437,0.2366281301,-1.5767204762,-0.1076772437
5.4,0.524,0.01,0.0129996338,0.9926490188,-1.5758281946,0.0342749767,0.2426490188,-1.5758281946,0.0342749767
5.5,0.55,0.011,0.0104998071,0.9998313785,-1.5745737553,0.1571106464,0.2498313785,-1.5745737553,0.1571106464
5.6,0.567,0.011,0.0099998333,1.0088486075,-1.5739145279,0.265178293,0.2588486075,-1.5739145279,0.265178293
5.7,0.593,0.011,0.0084998976,1.0199862421,-1.5728523731,0.3792823851,0.2699862421,-1.5728523731,0.3792823851
5.8,0.614,0.012,0.0069999428,1.0300361514,-1.572201252,0.473657757,0.2800361514,-1.572201252,0.473657757
5.9,0.637,0.012,0.005999964,1.0379929543,-1.5714333057,0.5585138202,0.2879929543,-1.5714333057,0.5585138202
6,0.659,0.012,0.0049999792,1.0441600084,-1.5709135532,0.6288273931,0.2941600084,-1.5709135532,0.6288273931
6.1,0.677,0.013,0.0029999955,1.050470531,-1.5704015493,0.6929377317,0.300470531,-1.5704015493,0.6929377317
6.2,0.7,0.013,0.0019999987,1.0581932962,-1.5697832108,0.7655909061,0.3081932962,-1.5697832108,0.7655909061
6.3,0.722,0.013,0.0014999994,1.0664715171,-1.568803072,0.8492802382,0.3164715171,-1.568803072,0.8492802382
6.4,0.745,0.013,0.0005,1.0744166672,-1.5682044029,0.9151219726,0.3244166672,-1.5682044029,0.9151219726
6.5,0.772,0.013,0.0005,1.934900403,-1.5965466499,0.9281953573,1.184900403,-1.5965466499,0.9281953573
6.6,0.795,0.013,0,1.9489673376,-1.5964767933,0.9649065733,1.1989673376,-1.5964767933,0.9649065733
6.7,0.818,0.013,0,1.9638135433,-1.5959584713,1.0137284994,1.2138135433,-1.5959584713,1.0137284994
6.8,0.837,0.013,-0.0005,1.9791555405,-1.5962193012,0.9988703132,1.2291555405,-1.5962193012,0.9988703132
6.9,0.867,0.013,0,1.993830204,-1.5963124037,1.00306499,1.243830204,-1.5963124037,1.00306499
7,0.887,0.013,-0.0009999998,2.0065056086,-1.5961824656,1.0126833916,1.2565056086,-1.5961824656,1.0126833916
7.1,0.913,0.013,-0.0005,2.0179054737,-1.5967606306,0.9820666909,1.2679054737,-1.5967606306,0.9820666909
7.2,0.939,0.013,-0.0005,2.0304659605,-1.5972557068,0.942432344,1.2804659605,-1.5972557068,0.942432344
7.3,0.965,0.013,0.0009999998,2.0431039333,-1.5972194672,0.9136061668,1.2931039333,-1.5972194672,0.9136061668
7.4,0.99,0.013,0.0024999974,2.2212035656,-1.6089878082,1.0346618891,1.4712035656,-1.6089878082,1.0346618891
7.5,1.014,0.013,0.0029999955,2.234364152,-1.6092623472,0.9988824129,1.484364152,-1.6092623472,0.9988824129
7.6,1.039,0.013,0.0024999974,2.2474504709,-1.6090774536,0.9862434268,1.4974504709,-1.6090774536,0.9862434268
7.7,1.063,0.013,0.0024999974,2.2616510391,-1.6093477011,0.9459480047,1.5116510391,-1.6093477011,0.9459480047
7.8,1.086,0.013,0.0019999987,2.3731570244,-1.6125355959,0.895152688,1.6231570244,-1.6125355959,0.895152688
7.9,1.111,0.013,0.0019999987,2.3886227608,-1.612837553,0.8440540433,1.6386227608,-1.612837553,0.8440540433
8,1.135,0.013,0.0019999987,2.4035505056,-1.6131856442,0.8010053039,1.6535505056,-1.6131856442,0.8010053039
