,err_angle,err_dist,err_predict,grad,y
2675,0.0922737866632,0.00090149630417,0.0102701782634,0.00306631395976,0
2676,0.0904375164954,0.00150757096179,0.00579662949785,0.00512779238705,0
2677,0.0891039462967,0.000303905421387,0.00646339060917,0.00103369190948,0
2678,0.0891738630948,0.000912192360711,0.00528033089659,0.00310269510446,0
2679,0.0898959067116,0.00121255553847,0.00478689280375,0.00412433856621,0
2680,0.0911709163665,0.00121412762239,0.00491529993112,0.00412968579043,0
2681,0.0928920694595,0.00361930608833,0.00413701007781,0.0123105649263,0
2682,0.0949247112803,0.00178779104341,0.00437659186693,0.00608092191637,0
2683,0.0959999878646,0.000296813126945,0.00665083042092,0.001009568459,0
2684,0.0967990507005,0.00148714376784,0.00469847577344,0.00505831213551,0
2685,0.0953361605001,0.00267728569652,0.00383371858755,0.00910641393376,0
2686,0.0927164412796,0.000597852463989,0.00531596597069,0.00203351178227,0
2687,0.273251320794,0.0,0.00374516883842,0.0,0
2688,0.397012504683,0.00860157059008,0.00860157059008,0.0292570428234,0
2689,0.0690458017157,0.00212324135211,0.0144122750889,0.00722190936092,0
2690,0.270517510589,0.0,0.0102105650039,0.0,0
2691,0.0,0.0,0.0,0.0,0
2692,0.0,0.0,0.0,0.0,0
2693,0.0,0.0,0.0,0.0,0
2694,0.0,0.0,0.0,0.0,0
2695,0.0,0.0,0.0,0.0,0
2696,0.0,0.0,0.0,0.0,0
2697,0.204975290165,0.00920649252335,0.00920649252335,0.0313146004196,0
2698,0.0581561885165,0.00225859830391,0.0268544817538,0.00768230715616,0
2699,0.0571208063243,0.00303884766603,0.00290205757873,0.0103362165511,0
2700,0.0558577788108,0.00110237047538,0.00469542572214,0.00374955944006,0
2701,0.0614351651736,0.00409733069787,0.00203741095397,0.0139364989723,0
2702,0.0630422891525,0.00186905720266,0.00395643162388,0.00635733742401,0
2703,0.0610516866749,0.00105710810889,0.00383674278983,0.00359560581254,0
2704,0.0601733270934,0.00131194803676,0.00413497425938,0.0044624082883,0
2705,0.0591240964539,0.000523774360715,0.00572548969941,0.00178154544461,0
2706,0.0566871397192,0.0031954359483,0.0020236709379,0.0108688297561,0
2707,0.0543227521304,0.000547777581773,0.00512183114564,0.00186318905365,0
2708,0.0566429370171,0.00168001895103,0.00413516779119,0.00571435017356,0
2709,0.0606247737432,0.00112619249289,0.00432101692914,0.00383058671051,0
2710,0.063246838878,0.000281385462758,0.00541296605869,0.000957093410741,0
2711,0.254580112053,0.0,0.000793035521748,0.0,0
2712,0.160255970552,0.00294651015197,0.00294651015197,0.010022143374,0
2713,0.254716372911,0.0,0.0103028580541,0.0,0
2714,0.0,0.0,0.0,0.0,0
2715,0.180767412304,0.00951683599182,0.00951683599182,0.0323701904484,0
2716,0.0556190592762,0.00339941344422,0.0252031640561,0.0115626307627,0
2717,0.060612244503,0.00340689033938,0.00214370679396,0.0115880623788,0
2718,0.0653294685206,0.000179689965608,0.00344504853098,0.000611190359212,0
2719,0.0655007194513,0.00160761255066,0.00117960508897,0.00546806990019,0
2720,0.0668848765094,0.00124014474684,0.00236767387306,0.00421817941103,0
2721,0.0679772964424,0.00088112117717,0.0029970342908,0.0029970108067,0
2722,0.0671376334663,0.00141139481763,0.00276519070508,0.004800662645,0
2723,0.0653796627355,0.00178016002477,0.00174916883334,0.00605496607064,0
2724,0.0675804824759,0.00017671308336,0.00371351408343,0.000601064909389,0
2725,0.0703399579187,0.00157592312081,0.000835826320478,0.00536028272384,0
2726,0.0688702865318,0.000524265970097,0.00322194138251,0.00178321758536,0
2727,0.104255394055,0.0705070175579,0.0676924131994,0.239819787612,0
2728,0.0683685226436,0.00179222842404,0.112863278345,0.00609601504777,0
2729,0.232860833828,0.0,0.00481675630071,0.0,0
2730,0.0,0.0,0.0,0.0,0
2731,0.0,0.0,0.0,0.0,0
2732,0.0,0.0,0.0,0.0,0
2733,0.0,0.0,0.0,0.0,0
2734,0.0,0.0,0.0,0.0,0
2735,0.1665455949,0.00725221801362,0.00725221801362,0.0246674082096,0
2736,0.0623334143444,0.00142339908875,0.0270524435071,0.00484149349915,0
2737,0.0640336344689,0.000993836750133,0.00383023161125,0.0033803971093,0
2738,0.0690250195667,0.00282977640651,0.00201809508072,0.00962508981807,0
2739,0.0716315448802,0.00209947019633,0.00234121661622,0.00714105508957,0
2740,0.0726992579336,0.000423399194061,0.00393003249942,0.00144013331313,0
2741,0.0753953136951,0.00234294175763,0.00145288347176,0.00796918965182,0
2742,0.0738324357655,0.00189859913346,0.00271496823911,0.00645782018182,0
2743,0.0732107658373,0.000408318882647,0.00396694594833,0.00138883973689,0
2744,0.071796771217,0.00235618245839,0.00396474848611,0.00801422604896,0
2745,0.110311505295,0.0172571211929,0.0145212013792,0.0586976911323,0
2746,0.0828969832016,0.00108941773916,0.0417351144632,0.00370550251416,0
2747,0.0836815476027,0.00109138629821,0.00465090039414,0.00371219829324,0
2748,0.215449075019,0.0,0.00567661777687,0.0,0
2749,0.0,0.0,0.0,0.0,0
2750,0.0,0.0,0.0,0.0,0
2751,0.0,0.0,0.0,0.0,0
2752,0.0,0.0,0.0,0.0,0
2753,0.130182940978,0.00860020824004,0.00860020824004,0.0292524089797,0
2754,0.0836389252254,0.00232508971996,0.0270853132492,0.00790846843525,0
2755,0.0852569587541,0.000515373892621,0.00489265203651,0.00175297242388,0
2756,0.209347263809,0.0,0.003244812316,0.0,0
2757,0.123516512382,0.00304445619461,0.00304445619461,0.0103552931789,0
2758,0.0867995203078,0.00127128493821,0.00741697545089,0.00432409842927,0
2759,0.0870251530705,0.00101663129902,0.00384185059387,0.00345792958849,0
